date,amount_in_stock
2021-04-10,-11364.844023714257
2021-04-11,-66482.1236459639
2021-04-12,-128813.02604588126
2021-04-13,-189165.18592154793
2021-04-14,-235646.37892092072
2021-04-15,-262386.42745492875
2021-04-16,128207.1126242844
2021-04-17,484230.47263176995
2021-04-18,415065.4991949436
2021-04-19,350012.5057265632
2021-04-20,263063.87403928395
2021-04-21,215462.95198873535
2021-04-22,502931.7009489148
2021-04-23,444128.84454191074
2021-04-24,416851.5529121987
2021-04-25,575677.4656509105
2021-04-26,798803.565254669
2021-04-27,756329.9209084371
2021-04-28,693343.5929958853
2021-04-29,633572.7242262983
2021-04-30,586605.6140128067
2021-05-01,555322.3617422794
2021-05-02,510051.40041188453
2021-05-03,469851.3389004902
2021-05-04,441081.9000312464
2021-05-05,399484.615634201
2021-05-06,696136.4720517738
2021-05-07,664079.5714129838
2021-05-08,639953.3389006793
2021-05-09,578078.3984912352
2021-05-10,508496.2163839203
2021-05-11,453782.5063949912
2021-05-12,375795.88872781984
2021-05-13,324748.85745296953
2021-05-14,265033.5293814591
2021-05-15,191345.33714884822
2021-05-16,125538.30636832467
2021-05-17,486699.9090717564
2021-05-18,433044.6008993777
2021-05-19,379181.34503853624
2021-05-20,336733.4798502792
2021-05-21,302099.29447029356
2021-05-22,220713.48533501168
2021-05-23,167038.98676838083
2021-05-24,134908.53922642054
2021-05-25,99766.58410338087
2021-05-26,64386.80915679069
2021-05-27,361919.1602337716
2021-05-28,311015.7070846562
2021-05-29,258417.9931968885
2021-05-30,220655.1474713701
2021-05-31,188967.8022209354
2021-06-01,187586.8123219715
2021-06-02,148201.8543062532
2021-06-03,85794.10557071284
2021-06-04,19937.2721774291
2021-06-05,-21222.25646840773
2021-06-06,-99515.04498656568
2021-06-07,-144600.11278759915
2021-06-08,-208569.31457434213
2021-06-09,-270434.79377998784
2021-06-10,-146080.38556497518
2021-06-11,-197744.22441062317
2021-06-12,-247206.8338239739
2021-06-13,-19232.408561805147
2021-06-14,-47054.57870629374
2021-06-15,-82331.94894057448
2021-06-16,56822.28522437127
2021-06-17,-5380.359315638307
2021-06-18,-64742.15657142063
2021-06-19,-102359.69861953295
2021-06-20,-187079.5771196356
2021-06-21,-237233.0730349294
2021-06-22,-60781.477353804774
2021-06-23,-95743.53688423763
2021-06-24,219265.19183468865
2021-06-25,166018.31299095904
2021-06-26,127324.35545632138
2021-06-27,62794.68059832805
2021-06-28,21668.2514308655
2021-06-29,-50316.4801029578
2021-06-30,-79204.52348730947
2021-07-01,191577.08330515135
2021-07-02,141760.78489785508
2021-07-03,98948.39846553442
2021-07-04,64038.65918802995
2021-07-05,26447.1233413148
2021-07-06,-13022.080250524916
2021-07-07,285296.5291195527
2021-07-08,257249.25334153447
2021-07-09,589937.2502111658
2021-07-10,547332.2642310483
2021-07-11,489625.47496736515
2021-07-12,451659.6340056894
2021-07-13,408940.087223126
2021-07-14,372398.90279541345
2021-07-15,327219.6904202084
2021-07-16,278112.5707611354
2021-07-17,249564.69143054486
2021-07-18,199849.93454908518
2021-07-19,633081.1550744908
2021-07-20,560950.8118202476
2021-07-21,885190.5961887846
2021-07-22,838076.0106605014
2021-07-23,775211.1163124711
2021-07-24,726945.8405482947
2021-07-25,644089.006161145
2021-07-26,941593.1369481836
2021-07-27,910279.2186288635
2021-07-28,858576.4584500947
2021-07-29,1188692.7272715634
2021-07-30,1145293.3945720182
2021-07-31,1089868.8541963038
2021-08-01,1047642.9074704085
2021-08-02,1012835.3742754249
2021-08-03,1238891.4321784496
2021-08-04,1211681.9816677598
2021-08-05,1154444.895439112
2021-08-06,1109275.8181821972
2021-08-07,1058247.3735601068
2021-08-08,1017256.953908889
2021-08-09,985824.1863912917
2021-08-10,1275142.1161176958
2021-08-11,1207694.6598353714
2021-08-12,1151633.8969831534
2021-08-13,1115537.8540568247
2021-08-14,1033378.6927169448
2021-08-15,971994.1544095458
2021-08-16,929073.1323963873
2021-08-17,871498.3232116804
2021-08-18,1108483.0617190541
2021-08-19,1070370.8727955446
2021-08-20,1027068.5970765499
2021-08-21,1361247.2714829298
2021-08-22,1309791.1082427092
2021-08-23,1258414.6965946767
2021-08-24,1212790.1028415759
2021-08-25,1166055.3208899843
2021-08-26,1128490.2460538154
2021-08-27,1104935.8483842565
2021-08-28,1084330.9002424532
2021-08-29,1017996.6412879428
2021-08-30,969948.7871034581
2021-08-31,913757.0731994106
2021-09-01,1250598.2141536232
2021-09-02,1204568.0666521925
2021-09-03,1193864.2432135388
2021-09-04,1123520.6427849764
2021-09-05,1053913.50147074
2021-09-06,996981.9493567909
2021-09-07,942318.3358728208
2021-09-08,884592.806864691
2021-09-09,830835.4141095028
2021-09-10,777354.6650491382
2021-09-11,727752.3731808765
2021-09-12,674766.4777472744
2021-09-13,637354.7405956141
2021-09-14,908897.880879431
2021-09-15,886906.8587683073
2021-09-16,827398.073433537
2021-09-17,785853.9417255967
2021-09-18,738975.7754809558
2021-09-19,706505.9460452488
2021-09-20,644699.676989112
2021-09-21,588624.9513246977
2021-09-22,535141.1458672826
2021-09-23,505063.9366007591
2021-09-24,431993.38810376957
2021-09-25,387875.01040075195
2021-09-26,353740.67433509044
2021-09-27,292121.1635336504
2021-09-28,262786.2040530068
2021-09-29,207945.42564793542
2021-09-30,153084.1661070135
2021-10-01,115417.47204050998
2021-10-02,69902.58229749798
2021-10-03,32029.986340895797
2021-10-04,257910.21700555782
2021-10-05,185741.80633443507
2021-10-06,127330.03843891155
2021-10-07,62879.39650024672
2021-10-08,23033.226504836108
2021-10-09,-27979.69656548275
2021-10-10,-84173.66837961711
2021-10-11,196022.73780922336
2021-10-12,137816.2770916728
2021-10-13,91328.3314459105
2021-10-14,41251.62959627359
2021-10-15,-6329.08472873627
2021-10-16,-60244.91381143461
2021-10-17,-99851.2698825248
2021-10-18,-173641.52212470508
2021-10-19,-212049.14390664152
2021-10-20,-245454.1192965511
2021-10-21,-305386.0794143668
2021-10-22,-120943.28550890283
2021-10-23,-171138.31388707145
2021-10-24,-211211.51691554562
2021-10-25,15210.595103964442
2021-10-26,-46516.747972695215
2021-10-27,-108704.63530860818
2021-10-28,-162919.51332463368
2021-10-29,-230061.855542359
2021-10-30,-276549.55492150894
2021-10-31,60181.492596672266
2021-11-01,11902.539218675753
2021-11-02,-8816.14378848672
2021-11-03,-66954.54444227618
2021-11-04,-116676.84740239033
2021-11-05,-153418.98585937332
2021-11-06,-196155.47476637954
2021-11-07,-251512.16333905573
2021-11-08,-333344.50629424525
2021-11-09,-4059.411425020022
2021-11-10,-43261.74829909939
2021-11-11,-106048.24832104275
2021-11-12,-143774.93807254065
2021-11-13,-210808.42267524963
2021-11-14,-266175.2330804739
2021-11-15,-320073.4749942003
2021-11-16,-382919.4569090524
2021-11-17,-416753.2852401128
2021-11-18,-477830.28394004394
2021-11-19,-529058.3960308388
2021-11-20,-584693.8663060239
2021-11-21,-656496.8774633836
2021-11-22,-398005.2872290472
2021-11-23,-458715.2946404286
2021-11-24,-531964.3107156917
2021-11-25,-589663.322212392
2021-11-26,-636461.6149367143
2021-11-27,-672820.8031147933
2021-11-28,-734332.3240520869
2021-11-29,-773617.0527816914
2021-11-30,-802079.1205139998
2021-12-01,-525354.9727204265
2021-12-02,-584780.1553593907
2021-12-03,-627794.2090558368
2021-12-04,-680563.7169338213
2021-12-05,-358688.0285447965
2021-12-06,-417863.17287740955
2021-12-07,-94466.31801389478
2021-12-08,-120354.06949547637
2021-12-09,270468.6405604635
2021-12-10,220782.1644699257
2021-12-11,525267.2813442927
2021-12-12,482176.8629086895
2021-12-13,453361.41842871887
2021-12-14,421915.6790918901
2021-12-15,370951.4788054582
2021-12-16,333261.71358073386
2021-12-17,293991.26921963337
2021-12-18,230223.3400138117
2021-12-19,163977.57136618256
2021-12-20,99667.54491378451
2021-12-21,79481.0786327979
2021-12-22,250930.1081393262
2021-12-23,426844.782771413
2021-12-24,366615.4882019885
2021-12-25,308825.2904883709
2021-12-26,248976.98635886348
2021-12-27,200133.51200007505
2021-12-28,154650.06743391437
2021-12-29,109288.25307168259
2021-12-30,52184.36661215486
2021-12-31,2705.043157733511
