date,demand_quantity
2021-05-06,42053.59694349442
2021-05-07,32056.90063878994
2021-05-08,24126.23251230451
2021-05-09,61874.94040944404
2021-05-10,69582.18210731493
2021-05-11,54713.709988929106
2021-05-12,77986.61766717135
2021-05-13,51047.031274850284
2021-05-14,59715.32807151039
2021-05-15,73688.19223261088
2021-05-16,65807.03078052355
2021-05-17,55779.76069593255
2021-05-18,53655.30817237868
2021-05-19,53863.25586084147
2021-05-20,42447.86518825701
2021-05-21,34634.185379985654
2021-05-22,81385.8091352819
2021-05-23,53674.49856663084
2021-05-24,32130.44754196027
2021-05-25,35141.955123039676
2021-05-26,35379.77494659018
2021-05-27,47723.22357446625
2021-05-28,50903.4531491154
2021-05-29,52597.71388776773
2021-05-30,37762.845725518426
2021-05-31,31687.345250434668
2021-06-01,1380.9898989639114
2021-06-02,39384.958015718286
2021-06-03,62407.74873554036
2021-06-04,65856.83339328374
2021-06-05,41159.52864583683
2021-06-06,78292.78851815795
2021-06-07,45085.067801033474
2021-06-08,63969.20178674298
2021-06-09,61865.47920564571
2021-06-10,66481.65277980786
2021-06-11,51663.83884564799
2021-06-12,49462.60941335073
2021-06-13,48907.56631014691
2021-06-14,27822.17014448859
2021-06-15,35277.37023428074
2021-06-16,58563.35766039751
2021-06-17,62202.644540009576
2021-06-18,59361.79725578232
2021-06-19,37617.54204811233
2021-06-20,84719.87850010264
2021-06-21,50153.4959152938
2021-06-22,40323.203680923136
2021-06-23,34962.05953043287
2021-06-24,46613.355492701965
2021-06-25,53246.878843729624
2021-06-26,38693.95753463766
2021-06-27,64529.674857993334
2021-06-28,41126.42916746255
2021-06-29,71984.7315338233
2021-06-30,28888.043384351673
2021-07-01,60293.9028556177
2021-07-02,49816.29840729628
2021-07-03,42812.38643232065
2021-07-04,34909.73927750447
2021-07-05,37591.53584671515
2021-07-06,39469.203591839716
2021-07-07,54396.08709948022
2021-07-08,28047.275778018222
2021-07-09,41834.25913212226
2021-07-10,42604.985980117504
2021-07-11,57706.78926368313
2021-07-12,37965.84096167571
2021-07-13,42719.54678256345
2021-07-14,36541.18442771253
2021-07-15,45179.2123752051
2021-07-16,49107.119659072996
2021-07-17,28547.87933059051
2021-07-18,49714.75688145967
2021-07-19,33936.612529083315
2021-07-20,72130.34325424329
2021-07-21,21218.431770514377
2021-07-22,47114.58552828316
2021-07-23,62864.89434803029
2021-07-24,48265.27576417639
2021-07-25,82856.83438714968
2021-07-26,71619.09933599173
2021-07-27,31313.91831932018
2021-07-28,51702.76017876872
2021-07-29,51759.91074963173
2021-07-30,43399.332699545244
2021-07-31,55424.54037571451
2021-08-01,42225.94672589529
2021-08-02,34807.53319498364
2021-08-03,73469.6548372101
2021-08-04,27209.4505106898
2021-08-05,57237.08622864778
2021-08-06,45169.07725691487
2021-08-07,51028.44462209041
2021-08-08,40990.419651217926
2021-08-09,31432.767517597265
2021-08-10,46704.92168243732
2021-08-11,67447.45628232439
2021-08-12,56060.762852218075
2021-08-13,36096.04292632875
2021-08-14,82159.16133987988
2021-08-15,61384.53830739901
2021-08-16,42921.0220131585
2021-08-17,57574.80918470686
2021-08-18,44223.76579375525
2021-08-19,38112.188923509486
2021-08-20,43302.275718994686
2021-08-21,31995.553894163357
2021-08-22,51456.16324022061
2021-08-23,51376.41164803253
2021-08-24,45624.593753100846
2021-08-25,46734.78195159169
2021-08-26,37565.07483616892
2021-08-27,23554.39766955899
2021-08-28,20604.948141803365
2021-08-29,66334.25895451049
2021-08-30,48047.85418448473
2021-08-31,56191.71390404747
2021-09-01,44859.282252098456
2021-09-02,46030.147501430656
2021-09-03,10703.823438653832
2021-09-04,70343.60042856235
2021-09-05,69607.14131423642
2021-09-06,56931.55211394906
2021-09-07,54663.61348397007
2021-09-08,57725.529008129895
2021-09-09,53757.39275518815
2021-09-10,53480.74906036454
2021-09-11,49602.291868261746
2021-09-12,52985.895433602054
2021-09-13,37411.73715166042
2021-09-14,59155.55398150197
2021-09-15,21991.02211112378
2021-09-16,59508.78533477017
2021-09-17,41544.13170794038
2021-09-18,46878.16624464087
2021-09-19,32469.82943570702
2021-09-20,61806.26905613678
2021-09-21,56074.725664414334
2021-09-22,53483.80545741505
2021-09-23,30077.209266523543
2021-09-24,73070.54849698953
2021-09-25,44118.377703017635
2021-09-26,34134.3360656615
2021-09-27,61619.510801440054
2021-09-28,29334.959480643633
2021-09-29,54840.778405071345
2021-09-30,54861.25954092192
2021-10-01,37666.69406650353
2021-10-02,45514.88974301199
2021-10-03,37872.595956602185
2021-10-04,54862.49528732663
2021-10-05,72168.41067112274
2021-10-06,58411.76789552352
2021-10-07,64450.64193866483
2021-10-08,39846.169995410615
2021-10-09,51012.92307031886
2021-10-10,56193.97181413436
2021-10-11,34065.44429410843
2021-10-12,58206.460717550566
2021-10-13,46487.945645762295
2021-10-14,50076.70184963691
2021-10-15,47580.71432500986
2021-10-16,53915.82908269834
2021-10-17,39606.35607109019
2021-10-18,73790.25224218029
2021-10-19,38407.621781936425
2021-10-20,33404.97538990958
2021-10-21,59931.9601178157
2021-10-22,74486.16955897454
2021-10-23,50195.02837816861
2021-10-24,40073.20302847418
2021-10-25,64626.796001266266
2021-10-26,61727.34307665966
2021-10-27,62187.88733591297
2021-10-28,54214.87801602549
2021-10-29,67142.34221772531
2021-10-30,46487.69937914996
2021-10-31,31086.740684974324
2021-11-01,48278.95337799651
2021-11-02,20718.68300716247
2021-11-03,58138.40065378947
2021-11-04,49722.30296011415
2021-11-05,36742.138456983004
2021-11-06,42736.48890700623
2021-11-07,55356.6885726762
2021-11-08,81832.3429551895
2021-11-09,62338.173681547836
2021-11-10,39202.33687407937
2021-11-11,62786.50002194336
2021-11-12,37726.689751497914
2021-11-13,67033.48460270898
2021-11-14,55366.81040522425
2021-11-15,53898.24191372635
2021-11-16,62845.981914852084
2021-11-17,33833.82833106041
2021-11-18,61076.99869993116
2021-11-19,51228.112090794835
2021-11-20,55635.47027518508
2021-11-21,71803.01115735975
2021-11-22,50315.05762449138
2021-11-23,60710.007411381375
2021-11-24,73249.01607526309
2021-11-25,57699.01149670034
2021-11-26,46798.292724322295
2021-11-27,36359.18817807891
2021-11-28,61511.52093729363
2021-11-29,39284.72872960448
2021-11-30,28462.06773230841
2021-12-01,25809.261932155227
2021-12-02,59425.1826389642
2021-12-03,43014.05369644615
2021-12-04,52769.507877984564
2021-12-05,56657.291422193426
2021-12-06,59175.14433261302
2021-12-07,57450.71229516849
2021-12-08,25887.75148158159
2021-12-09,21300.79633013303
2021-12-10,49686.47609053778
2021-12-11,50683.5775985572
2021-12-12,43090.41843560319
2021-12-13,28815.44447997063
2021-12-14,31445.73933682877
2021-12-15,50964.200286431944
2021-12-16,37689.76522472434
2021-12-17,39270.444361100475
2021-12-18,63767.92920582164
2021-12-19,66245.76864762916
2021-12-20,64310.02645239804
2021-12-21,20186.46628098661
2021-12-22,57829.12348425346
2021-12-23,61209.40407684893
2021-12-24,60229.294569424455
2021-12-25,57790.197713617585
2021-12-26,59848.30412950744
2021-12-27,48843.47435878844
2021-12-28,45483.444566160666
2021-12-29,45361.81436223178
2021-12-30,57103.88645952773
2021-12-31,49479.32345442135
